thickness,nb_iterations,dt,tol_by_dt,seed,folder_name
0.05,5,0.01,1e-07,0,wd_thickness_0.05_nb_iterations_5_dt_0.01_tol_by_dt_1e-07_seed_0/
0.05,5,0.01,1e-07,1,wd_thickness_0.05_nb_iterations_5_dt_0.01_tol_by_dt_1e-07_seed_1/
0.05,5,0.01,1e-07,2,wd_thickness_0.05_nb_iterations_5_dt_0.01_tol_by_dt_1e-07_seed_2/
0.05,5,0.01,1e-07,3,wd_thickness_0.05_nb_iterations_5_dt_0.01_tol_by_dt_1e-07_seed_3/
0.05,5,0.01,1e-07,4,wd_thickness_0.05_nb_iterations_5_dt_0.01_tol_by_dt_1e-07_seed_4/
0.05,5,0.01,1e-07,5,wd_thickness_0.05_nb_iterations_5_dt_0.01_tol_by_dt_1e-07_seed_5/
0.05,5,0.01,1e-07,6,wd_thickness_0.05_nb_iterations_5_dt_0.01_tol_by_dt_1e-07_seed_6/
0.05,5,0.01,1e-07,7,wd_thickness_0.05_nb_iterations_5_dt_0.01_tol_by_dt_1e-07_seed_7/
0.05,5,0.01,1e-07,8,wd_thickness_0.05_nb_iterations_5_dt_0.01_tol_by_dt_1e-07_seed_8/
0.05,5,0.01,1e-07,9,wd_thickness_0.05_nb_iterations_5_dt_0.01_tol_by_dt_1e-07_seed_9/
0.05,5,0.01,1e-07,10,wd_thickness_0.05_nb_iterations_5_dt_0.01_tol_by_dt_1e-07_seed_10/
0.05,5,0.01,1e-07,11,wd_thickness_0.05_nb_iterations_5_dt_0.01_tol_by_dt_1e-07_seed_11/
0.05,5,0.01,1e-07,12,wd_thickness_0.05_nb_iterations_5_dt_0.01_tol_by_dt_1e-07_seed_12/
0.05,5,0.01,1e-07,13,wd_thickness_0.05_nb_iterations_5_dt_0.01_tol_by_dt_1e-07_seed_13/
0.05,5,0.01,1e-07,14,wd_thickness_0.05_nb_iterations_5_dt_0.01_tol_by_dt_1e-07_seed_14/
0.05,5,0.01,1e-07,15,wd_thickness_0.05_nb_iterations_5_dt_0.01_tol_by_dt_1e-07_seed_15/
0.05,5,0.01,1e-07,16,wd_thickness_0.05_nb_iterations_5_dt_0.01_tol_by_dt_1e-07_seed_16/
0.05,5,0.01,1e-07,17,wd_thickness_0.05_nb_iterations_5_dt_0.01_tol_by_dt_1e-07_seed_17/
