genotype,devstage,arclength,x,y,x_sd,y_sd,x_sem,y_sem,curvature,curvature_sd,curvature_sem,thickness,crosssection
ecadGFPnbG4,wL3,-58.47777505393861,-52.95709355506688,-21.348401832568854,1.173621213486132,2.79420322995331,0.16597510372008573,0.3951600103826679,0.012811987155950742,0.0005024040449954637,7.105066142236873e-05,0.1,Across_DV
ecadGFPnbG4,wL3,-56.42509692853555,-51.45295948955955,-19.955721645279144,1.105306981515682,2.7145527695970952,0.15631401238451453,0.38389573425416595,0.012854922548771346,0.0002367833031614786,3.348621586744632e-05,0.1,Across_DV
ecadGFPnbG4,wL3,-54.372418803132504,-49.912633047460176,-18.603232645499464,1.0393770813245249,2.6328959104935246,0.14699011648289065,0.3723477104936601,0.012876600991454294,0.00015235153910222435,2.1545761284678056e-05,0.1,Across_DV
ecadGFPnbG4,wL3,-52.319740677729456,-48.33710923904521,-17.291929260605755,0.9760376277210214,2.54939266593552,0.13803256505095304,0.3605385683980514,0.012883032491714684,0.00014970084582921906,2.1170896647040537e-05,0.1,Across_DV
ecadGFPnbG4,wL3,-50.2670625523264,-46.72745726573,-16.022737625788146,0.9154538659025437,2.464153463812419,0.1294647272886258,0.34848392482921625,0.012879925318295727,0.00012696199679317391,1.7955137777087594e-05,0.1,Across_DV
ecadGFPnbG4,wL3,-48.214384426923345,-45.084802685965705,-14.796531049907228,0.8577626021211401,2.377251899932066,0.12130595052161532,0.33619418780611354,0.01287272550733794,8.195552450313419e-05,1.1590261426373287e-05,0.1,Across_DV
ecadGFPnbG4,wL3,-46.1617063015203,-43.41031017429911,-13.614144238093079,0.8030826495476762,2.288738960130869,0.1135730374696843,0.3236765678148769,0.0128663028179444,4.784224110933424e-05,6.7659146231144105e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-44.10902817611725,-41.70516864630824,-12.476386152505235,0.7515257018995557,2.1986580914645417,0.10628178400983113,0.31093720919705,0.012863890733228078,5.402908412310466e-05,7.640866352949148e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-42.056350050714194,-39.97058071317135,-11.384047292289196,0.7032051763663288,2.107055894751677,0.09944822975482265,0.29798270230359986,0.012865140228329046,6.594661941952738e-05,9.326260357575255e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-40.00367192531114,-38.207759961454016,-10.337897426292663,0.6582368383452578,2.0139836197261616,0.09308874640414501,0.28482029494139954,0.012868814456454755,6.74893577046994e-05,9.544436498183503e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-37.95099379990809,-36.41793240519443,-9.338680936752729,0.6167344284728316,1.919496724053152,0.08721941931286979,0.27145783000866935,0.012873775027700193,6.058098042515322e-05,8.567444413911067e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-35.89831567450504,-34.60233833260534,-8.387112785480603,0.5788031095817441,1.8236552729461049,0.08185512075142232,0.257903802009359,0.01287889043511709,5.088823357743687e-05,7.196683009042114e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-33.84563754910199,-32.762234163333304,-7.483874519805324,0.5445306457626775,1.7265243511381065,0.0770082624365358,0.2441674153146918,0.012883066547657942,4.482757641303735e-05,6.339576653163368e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-31.792959423698935,-30.89889429833768,-6.629610446063301,0.513976384920451,1.6281742525997582,0.0726872374293996,0.23025861099332556,0.012885496362837994,4.477184728186923e-05,6.331695363851646e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-29.740281298295884,-29.01361253228223,-5.824924752697014,0.48715856728170615,1.5286796366062998,0.06889462528760347,0.21618794746122036,0.012885903886885425,4.598015389247108e-05,6.502575723473466e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-27.687603172892832,-27.107702165533304,-5.0703803783698245,0.46404102606590397,1.428118098044687,0.06562531125599283,0.20196639829252658,0.012884769678432323,4.3567544110937816e-05,6.161381176097633e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-25.63492504748978,-25.18249472149553,-4.366500210100212,0.44452185541341876,1.3265697848050066,0.06286488366969088,0.18760529811055984,0.012882705640967638,3.770439664214183e-05,5.332206909241156e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-23.582246922086732,-23.239338052981555,-3.7137687788277645,0.4284267502507636,1.2241168230317017,0.060588692068806065,0.17311626130604982,0.01288019749768965,3.189292211710842e-05,4.510340300172357e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-21.529568796683677,-21.279594456751187,-3.112633512113297,0.41550903923073057,1.120842055644865,0.058761851856871355,0.15851100363711074,0.012877711757727135,3.104968917070761e-05,4.3910891532683715e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-19.47689067128062,-19.304638794420722,-2.5635059447468227,0.4054576970851855,1.0168277378606918,0.05734037741864314,0.14380115774797445,0.012875689592860286,3.620344044037284e-05,5.119939647534184e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-17.424212545877573,-17.315856613362726,-2.066762929343614,0.39791280031279624,0.9121542903734797,0.05627336788442135,0.12899809684229813,0.012874540645140995,4.2811209015455464e-05,6.054419241124643e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-15.371534420474525,-15.314642266160053,-1.6227478280129404,0.3924861687402186,0.8068991954071957,0.05550592628762722,0.11411277856127942,0.012874561666315483,4.6310107879776925e-05,6.549238263854166e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-13.31885629507147,-13.302397162434433,-1.2317712736407853,0.3887839210311104,0.7011365455693921,0.05498234939547867,0.09915568118196559,0.012875582544775634,4.451978279473767e-05,6.296048062222239e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-11.266178169668414,-11.280528732628209,-0.8941104456702393,0.38642771680486765,0.5949378237460227,0.05464913179823134,0.08413691391103592,0.01287720851473931,3.829664559000964e-05,5.4159635586787415e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-9.213500044265366,-9.250449828421608,-0.6100075482833051,0.3850724012442139,0.4883745193495931,0.05445746123351415,0.06906658687816361,0.012879150300691698,3.0345807583166676e-05,4.291545264527863e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-7.160821918862318,-7.213578062386354,-0.3796685722594212,0.384418974922965,0.38152462558150824,0.05436505279696198,0.0539557299876686,0.012881121280396614,2.5073977519611187e-05,3.5459959070872237e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-5.108143793459263,-5.171335134471381,-0.20326211316015044,0.38422300952036204,0.2744913134735793,0.05433733910395028,0.03881893382679405,0.012882837394364981,2.6625077810755364e-05,3.7653546139209188e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-3.0554656680562076,-3.125146158476844,-0.0809181895918382,0.38429938325812596,0.16748802626660314,0.05434813998152577,0.023686383828133133,0.012884020453999516,3.270110357710804e-05,4.624634418331352e-06,0.1,Across_DV
ecadGFPnbG4,wL3,-1.0027875426531594,-1.076438988528092,-0.01272706146826852,0.38452444780855943,0.0617972019012512,0.054379968915489005,0.008739444104545786,0.0128844019989442,3.8036791553305343e-05,5.37921464838428e-06,0.1,Across_DV
ecadGFPnbG4,wL3,1.0498905827498888,0.9733564545993292,0.0012619509757171806,0.384836648933768,0.05224082526504745,0.05442412082203482,0.0073879683599393136,0.012883740886256871,3.919678201170154e-05,5.543262072233008e-06,0.1,Across_DV
ecadGFPnbG4,wL3,3.102568708152944,3.022808889831359,-0.03895851656389899,0.38523639201769116,0.15750751160190715,0.054480653031109716,0.02227492590830547,0.0128820996333486,3.584855164695829e-05,5.069750793056077e-06,0.1,Across_DV
ecadGFPnbG4,wL3,5.155246833555999,5.070486608163186,-0.1333539956323372,0.3857857694988808,0.2646133515414007,0.054558346739585796,0.037421979053484836,0.012879821585459276,3.0382013417108057e-05,4.296665542667556e-06,0.1,Across_DV
ecadGFPnbG4,wL3,7.2079249589590475,7.114958626344041,-0.28184942392233064,0.38660817999298963,0.37183240948251445,0.054674653147046455,0.052585043642003816,0.012877251500620333,2.6489831277828433e-05,3.7462278658079983e-06,0.1,Across_DV
ecadGFPnbG4,wL3,9.260603084362096,9.154795870949899,-0.48433053737619325,0.38788726179544586,0.4789060496682746,0.05485554263028828,0.0677275430543397,0.012874718693746384,2.7556125078914503e-05,3.897024581305026e-06,0.1,Across_DV
ecadGFPnbG4,wL3,11.313281209765144,11.18857236257454,-0.740645262884839,0.38986438045538785,0.585703416496959,0.055135149432619365,0.0828309715138257,0.012872532237598162,3.2560494757899085e-05,4.604749328419895e-06,0.1,Across_DV
ecadGFPnbG4,wL3,13.365959335168206,13.214866400020671,-1.0506051109868046,0.3928337039151818,0.692122469478871,0.05555507518341069,0.09788089831601779,0.012870976773055303,3.7547511378268396e-05,5.3100199824505265e-06,0.1,Across_DV
ecadGFPnbG4,wL3,15.418637460571254,15.232261744479048,-1.4139865685823596,0.3971338363804593,0.7980714263562835,0.056163205748650316,0.11286434348954968,0.01287030977590158,3.936028091899929e-05,5.566384309446374e-06,0.1,Across_DV
ecadGFPnbG4,wL3,17.471315585974303,17.239348796078943,-1.8305324888968724,0.4031352145175049,0.9034641407061698,0.057011928784084245,0.12776912409044194,0.012870724996190479,3.666224547253016e-05,5.184824477430375e-06,0.1,Across_DV
ecadGFPnbG4,wL3,19.523993711377365,19.234725619960315,-2.2999532028257126,0.41122296500558947,1.0082188073227671,0.05815570942701813,0.14258367111554837,0.012872144422257975,3.136816798921207e-05,4.436128859714128e-06,0.1,Across_DV
ecadGFPnbG4,wL3,21.576671836780413,21.216998526523952,-2.8219265053151723,0.4217760460290719,1.1122571199863027,0.05964814045784123,0.1572969103930668,0.012874271941768767,2.8997475690979842e-05,4.1008623396767826e-06,0.1,Across_DV
ecadGFPnbG4,wL3,23.62934996218346,23.184782691006436,-3.396096719607119,0.43514533732392663,1.2155037183061073,0.06153884376469124,0.1718981843543423,0.012876813824001415,3.394110849674191e-05,4.79999759580691e-06,0.1,Across_DV
ecadGFPnbG4,wL3,25.68202808758651,25.13670295394785,-4.022073671194496,0.4516339043534766,1.317885744016203,0.06387067927641998,0.18637718928458713,0.012879484540608426,4.315940383296451e-05,6.103661424451575e-06,0.1,Across_DV
ecadGFPnbG4,wL3,27.734706212989558,27.071394633014037,-4.699431675354939,0.47148247921686937,1.4193324970063004,0.06667769165297875,0.20072392667831804,0.012882009174094907,5.134044584173884e-05,7.260635480766844e-06,0.1,Across_DV
ecadGFPnbG4,wL3,29.78738433839262,28.98750433481736,-5.427708524720236,0.4948621926039999,1.5197751519368043,0.06998408242862633,0.21492866316266598,0.01288412750626257,5.489946869212617e-05,7.763957319148196e-06,0.1,Across_DV
ecadGFPnbG4,wL3,31.840062463795668,30.88369077740978,-6.206404457820321,0.521874962372624,1.619146454557244,0.07380426496503134,0.22898188755031668,0.012885532630664925,5.232630861456824e-05,7.400057531164252e-06,0.1,Across_DV
ecadGFPnbG4,wL3,33.892740589198716,32.75862575730359,-7.034980953053225,0.5525603103215364,1.7173800537749246,0.07814382848858029,0.24287421637975337,0.012885980195146963,4.6111127401807155e-05,6.521098174794933e-06,0.1,Across_DV
ecadGFPnbG4,wL3,35.94541871460178,34.61099550553059,-7.912859826366674,0.5869067384792562,1.8144102624812624,0.08300114694055234,0.25659636009099285,0.012885217155557169,4.3264203034625284e-05,6.118482269683029e-06,0.1,Across_DV
ecadGFPnbG4,wL3,37.99809684000483,36.439502924484565,-8.839422989780523,0.6248646198946116,1.9101725185174656,0.08836920201020686,0.27013918821597716,0.012883319378769086,5.014449585132197e-05,7.0915026111300924e-06,0.1,Across_DV
ecadGFPnbG4,wL3,40.050774965407875,38.24286960049222,-9.814013614428296,0.6663577827975621,2.004603061254717,0.09423722138251774,0.2834936836401045,0.012880626946030798,6.310597020911708e-05,8.924531893644586e-06,0.1,Across_DV
ecadGFPnbG4,wL3,42.10345309081092,40.01983698564038,-10.835938241022843,0.7112927976443689,2.0976382161128475,0.1005919921246968,0.29665084141788944,0.012877410227767698,7.418873960517867e-05,1.0491872172500965e-05,0.1,Across_DV
ecadGFPnbG4,wL3,44.15613121621397,41.769167489007486,-11.904468832446373,0.7595658243096636,2.189213910223855,0.10741882902538258,0.3096016002774411,0.01287390568477761,7.893187184185002e-05,1.116265236622393e-05,0.1,Across_DV
ecadGFPnbG4,wL3,46.208809341617034,43.4896455707337,-13.018844820218787,0.8110670406166575,2.279265235919003,0.11470220088338869,0.3223367808882166,0.012870446786387607,8.004194110983958e-05,1.1319639867620372e-05,0.1,Across_DV
ecadGFPnbG4,wL3,48.26148746702008,45.18007839436064,-14.17827594571714,0.8656832564745527,2.3677273430094568,0.12242610020256188,0.33484721204855866,0.012868027598010298,8.889460452818494e-05,1.2571595534555188e-05,0.1,Across_DV
ecadGFPnbG4,wL3,50.31416559242313,46.83929529591174,-15.381946477817635,0.9232998417655297,2.45453903260757,0.13057431583617446,0.3471242389287762,0.012866830747516666,0.0001087187799544759,1.53751573096276e-05,0.1,Across_DV
ecadGFPnbG4,wL3,52.36684371782619,48.466146781296366,-16.62901745468837,0.983801190882463,2.539642514954901,0.13913049868247812,0.3591596888228537,0.01286853049699878,0.00012527309148093228,1.7716290497273986e-05,0.1,Across_DV
ecadGFPnbG4,wL3,54.41952184322924,50.059498645487054,-17.91863073620523,1.047072343321788,2.622981827933382,0.148078390871145,0.3709456474921561,0.012875160950862514,0.00013466731630321568,1.90448345124395e-05,0.1,Across_DV
ecadGFPnbG4,wL3,56.47219996863229,51.61822420501242,-19.249912167222657,1.113002240614497,2.7045029157098677,0.15740228636286646,0.3824744702874474,0.012886681752808223,0.000191745415035713,2.711689664663633e-05,0.1,Across_DV
